"","OR","2.5 %","97.5 %"
"(Intercept)",0.61014818808717,0.184034070246929,2.88480608291788
"factor(genero)Masculino",2.01820166283724,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",2.62910541502032,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",0.91123567926695,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",1.51893254231272,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",0.837191652145371,0.328996773443344,2.36600031133418
"soltero",0.926113968618924,0.443312810109861,1.99147707168826
"finalidadamigos",1.22018757536709,0.161374752498431,0.807877412753785
"finalidad",0.4827393807904,0.270575430094714,1.62486905531771
"heterosexual",0.932938426795848,0.383039160081645,2.51550488323947
"(Intercept)",0.384268665404488,0.184034070246929,2.88480608291788
"factor(genero)Masculino",1.90995369324657,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",2.55329347185147,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",0.831108860349342,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",1.51367922556102,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",0.8375506955902,0.328996773443344,2.36600031133418
"soltero",0.927713409430636,0.443312810109861,1.99147707168826
"finalidadpareja",1.52659057069831,0.161374752498431,0.807877412753785
"finalidadamigos",2.12002595121645,0.270575430094714,1.62486905531771
"heterosexual",0.915296314030585,0.383039160081645,2.51550488323947
"(Intercept)",0.740210762155378,0.184034070246929,2.88480608291788
"factor(genero)Masculino",2.10383711626836,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",2.56919043332053,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",0.89763066475731,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",1.54910470827274,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",0.87158447741073,0.328996773443344,2.36600031133418
"soltero",0.932913933891503,0.443312810109861,1.99147707168826
"finalidad",0.36654225465975,0.161374752498431,0.807877412753785
"finalidadpareja",0.668369384900379,0.270575430094714,1.62486905531771
"heterosexual",0.967468890089465,0.383039160081645,2.51550488323947
